Node1

Echo Requests Sent,Echo Requests Received, Echo Replies Sent,Echo Replies Received
128,49,49,128
Echo Request Bytes Sent (bytes),Echo Request Data Sent (bytes)
89452,84076
Echo Request Bytes Received (bytes),Echo Request Data Received (bytes)
84076,49846

Average RTT (milliseconds),2.56
Echo Request Throughput (kB/sec),272.5
Echo Request Goodput (kB/sec),256.1
Average Reply Delay (microseconds),55.51
Average Echo Request Hop Count,1.91

Node2

Echo Requests Sent,Echo Requests Received, Echo Replies Sent,Echo Replies Received
210,209,209,210
Echo Request Bytes Sent (bytes),Echo Request Data Sent (bytes)
142492,133672
Echo Request Bytes Received (bytes),Echo Request Data Received (bytes)
133672,156942

Average RTT (milliseconds),2.61
Echo Request Throughput (kB/sec),260.1
Echo Request Goodput (kB/sec),244.0
Average Reply Delay (microseconds),55.62
Average Echo Request Hop Count,2.07

Node3

Echo Requests Sent,Echo Requests Received, Echo Replies Sent,Echo Replies Received
282,307,307,282
Echo Request Bytes Sent (bytes),Echo Request Data Sent (bytes)
195562,183718
Echo Request Bytes Received (bytes),Echo Request Data Received (bytes)
183718,215734

Average RTT (milliseconds),2.65
Echo Request Throughput (kB/sec),261.5
Echo Request Goodput (kB/sec),245.6
Average Reply Delay (microseconds),55.37
Average Echo Request Hop Count,2.04

Node4

Echo Requests Sent,Echo Requests Received, Echo Replies Sent,Echo Replies Received
390,393,393,390
Echo Request Bytes Sent (bytes),Echo Request Data Sent (bytes)
270794,254414
Echo Request Bytes Received (bytes),Echo Request Data Received (bytes)
254414,254510

Average RTT (milliseconds),2.76
Echo Request Throughput (kB/sec),251.6
Echo Request Goodput (kB/sec),236.4
Average Reply Delay (microseconds),54.92
Average Echo Request Hop Count,2.14

